Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2007,"Air Force",19.6827,190,41.0806,327,39.2367,10,16.2779,315,53.7066,92,30.0156,115
2007,Akron,17.8811,277,53.0988,128,29.0201,146,20.4649,156,54.0677,77,25.4674,257
2007,Alabama,19.924,177,53.6091,115,26.4669,210,15.2946,325,54.8808,56,29.8246,124
2007,"Alabama A&M",22.934,54,53.4273,122,23.6387,280,23.1067,55,52.1835,130,24.7098,281
2007,"Alabama St.",23.9977,26,46.9645,266,29.0378,145,22.9059,63,56.7735,24,20.3206,334
2007,Albany,18.6524,246,50.9594,180,30.3882,122,21.4552,108,50.5597,187,27.9851,185
2007,"Alcorn St.",23.1452,45,55.6949,61,21.1599,317,24.3813,25,52.5206,118,23.0981,309
2007,American,21.4396,106,52.0308,157,26.5296,208,23.2708,47,48.9008,237,27.8284,192
2007,"Appalachian St.",17.325,294,52.7828,137,29.8923,128,18,266,51.7073,142,30.2927,105
2007,Arizona,22.8796,55,55.7716,60,21.3488,314,11.7045,336,53.5826,94,34.713,25
2007,"Arizona St.",17.1429,303,50.7143,185,32.1429,81,22.1544,90,47.8623,270,29.9833,117
2007,Arkansas,20.6273,154,53.7998,108,25.573,234,18.7797,230,52.0121,137,29.2081,145
2007,"Arkansas Little Rock",23.2068,42,51.4768,169,25.3165,242,18.951,227,49.8763,214,31.1727,82
2007,"Arkansas Pine Bluff",18.4009,254,62.1987,2,19.4004,330,21.9098,94,50.3979,192,27.6923,197
2007,"Arkansas St.",19.7837,184,49.3916,220,30.8247,111,20.6667,143,49.8667,215,29.4667,136
2007,Army,21.7851,96,48.6201,234,29.5948,135,23.8279,36,41.2576,335,34.9145,20
2007,Auburn,17.0721,306,52.5431,144,30.3848,123,17.5189,283,50.0667,202,32.4144,55
2007,"Austin Peay",22.2533,76,51.2104,173,26.5363,207,19.0749,220,50.7392,181,30.186,110
2007,"Ball St.",23.4307,35,56.2771,48,20.2922,321,23.1003,56,47.1125,291,29.7872,127
2007,Baylor,18.6358,247,48.5956,237,32.7686,67,21.8935,96,49.9772,207,28.1293,177
2007,Belmont,16.8184,313,46.6407,273,36.541,26,22.6133,73,54.0984,75,23.2883,306
2007,"Bethune Cookman",20.8221,138,55.1213,73,24.0566,268,22.7425,66,49.1639,230,28.0936,180
